Date,Shift,Factory,Machine No,Issues,Root Cause,Correction ,Corrective Action,,,
23/10/2024,NB,CANNING,,Low seam thickness and low overlap on head 2 ,Loose second roller operation,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be corrected,,,
24/10/2024,NB,CANNING,,Low overlap (0.98)  on head 5,"Material clogged on the seamer 
head
",The materials were cleaned,The line was stopped for the affected seamer head be  cleaned,,,
25/10/2024,NB,CANNING,,"Low overlap on the head 4(0.89), 5(0.94)",Loose second roller operation,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer heads be adjusted,,,
25/10/2024,DB,PACKAGING,,Misaligned label on cans,Unbalanced machine settings,The operator made an adjustment on the setting of the machine,The line was stopped and the affected cans were retrieved from the line. ,,,
25/10/2024,NB,CANNING,,Scratches detected in the inner coating of cans causing high enamel rate,Pipe under the welding arm not properly girded together,The operator made necessary adjustment to the pipe under the welding arm,The line was stopped and the affected cans were retrieved from the line. ,,,
26/10/2024,DA,PACKAGING,,Rust On Cans ,Rust From Autoclave 6 ,Usage of Autoclave 6 was discontinuted ,The Auti and the affected cans were retrieved from the line. ,,,
26/10/2024,DA,CANNING,,External lacquer failure,Dirt in the lacquer pot causing blockage in the flow of lacquer,Internal part of lacquer pot was cleaned,Affected cans removed,,,
26/10/2024,NA,CANNING,," High seam thickness on Head 1,2,4&5",Openness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
26/10/2024,NA,CANNING,,Low overlap on Head 1&5 ,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
26/10/2024,NA,CANNING,,Low application of lacquer powder in cans,Blockage of powder in the drum,The powder injector was blown off for free flow of powder,The line was stopped and the affected cans were retrieved from the line to trashed,,,
26/10/2024,NA,CANNING,,High enamel rate due to misalignment of lacquer powder in cans,Misalignment of lacquer powder arm,The operator adjusted the powder arm of the machine,The line was stopped and the affected cans were retreived from the line,,,
26/10/2024,NA,CANNING,,Low overlap on Head 5 ,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
26/10/2024,NA,PACKAGING,,illegible coding on cans,Ceased inkflow to print head,The printer head was cleaned and adjusted,The line was stopped and the operator worked on it,,,
27/10/2024,NA,CANNING,,Low overlap on Head 1 & 5 ,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
27/10/2024,NA,CANNING,, Low application of lacquer powder in cans,Blockage of powder in the drum,The powder injector was blown off for free flow of powder,The line was stopped and the affected cans were retrieved from the line to trashed,,,
27/10/2024,NA,CANNING,, Uncured lacquer powder application in cans,Fluctuation of the jorson oven temperature,The temperature was worked on and adjusted by the operator,The line was stopped and the affected cans were retrieved from the line to be recured,,,
27/10/2024,NA,CANNING,,High enamel rate due to scratches on inner coating of cans,Pipe under the welding arm not properly girded together,The operator made necessary adjustment to the pipe under the welding arm,The line was stopped and the affected cans were retrieved from the line. ,,,
28/10/2024,DA,CANNING,,High enamel ratIng on cans without visible scratches,Unknown,"Copper sulphate solution was used on the coated part of the blanks, there was no visible reaction","Since the enamel rating was below 20mA, and no visible reaction when copper sulphate was applied on the coated part of the blanks, concession was reached between Production and QA for the line to run",,,
28/10/2024,NA,CANNING,, High seam thickness on Head 3 &4,Openness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
28/10/2024,NA,CANNING,,High enamel rate due to scratches on inner coating of cans,Pipe under the welding arm not properly girded together,The operator made necessary adjustment to the pipe under the welding arm,The line was stopped and the affected cans were retrieved from the line. ,,,
28/10/2024,NA,CANNING,, High seam thickness on Head 3&4,Openness of the second operation roller,The operator made necessary adjustment on the second operation roller.,The line was stopped for the affected seamer head to be worked on and corrected,,,
29/10/2024,NB,CANNING,,Low overlap on Head 5,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
29/10/2024,NB,CANNING,,High enamel rate due to misalignment of lacquer powder in cans,Misalignment of lacquer powder arm,The operator adjusted the powder arm of the machine,The line was stopped and the affected cans were retreived from the line,,,
29/10/2024,NB,CANNING,,Jamming on Cevolani,Sticky external lacquer obstructed free movement of coveyor belt,Enginneer cleaned the lacquer using thinner ,The line was stopped for the engineer to work on the machine,,,
30/10/2024,DB,PACKAGING,,Bad label ,Unbalanced machine settings,adjustment was made by the operator,The line was stopped for adjustment by the operator while affected cans were retrieved to be re-labelled,,,
30/10/2024,DB,FILLING/AUTOCLAVE,,"Low filled weight on nozzles 07, 16, 20 and 24 and high weight volume flunctuations on nozzles 10 and 12",Issues with the filling nozzles,Adjustment was made on the nozzles by the operator and Engineer,The line was closely monitored and non complying cans were retrieved from the line.,,,
30/10/2024,NB,CANNING,,Low overlap on Heads 3 & 5,Short end hook length,The operator made necessary adjustment on the first operation roller.,The line was stopped and the affected cans were retrieved from the line. ,,,
30/10/2024,NB,CANNING,,High enamel rate due to scratches on inner coating of cans,Pipe under the welding arm not properly girded together,The operator made necessary adjustment to the pipe under the welding arm,The line was stopped and the affected cans were retrieved from the line. ,,,
30/10/2024,NB,CANNING,,Failure of external lacquer on cylinders/cans,Malfunctioning of the dispensing nozzle,The operator cleaned and blowed the dispensing nozzle air gun,The line was stopped for the affected cans to be retrieved from the line,,,
30/10/2024,NB,CANNING,,Jamming on Cevolani,Sticky external lacquer obstructed free movement of coveyor belt,Enginneer cleaned the lacquer using thinner ,The line was stopped for the engineer to work on the machine,,,
30/10/2024,NB,PACKAGING,,Misaligned label on cans,Unbalanced machine settings,The operator made an adjustment on the setting of the machine,The line was stopped and the affected cans were retrieved from the line. ,,,
30/10/2024,NB,FILLING/AUTOCLAVE,,"Low filled weight on nozzles 07, 20 and 24",Issues with the filling nozzles,Adjustment was made on the nozzles by the operator and Engineer,The line was closely monitored and non complying cans were retrieved from the line.,,,
31/10/2024,DB,PACKAGING,,No code on cans,sudden trip off of printer,The line was stopped for troubleshooting,Affected cans were retrieved for re-coding,,,
31/10/2024,DB,FILLING/AUTOCLAVE,,"Low filled weight on nozzles 07, 16, 20 and 24 and high weight volume flunctuations on nozzles 10 and 12",Issues with the filling nozzles,Adjustment was made on the nozzles by the operator and Engineer,The line was closely monitored and non complying cans were retrieved from the line.,,,
31/10/2024,NB,CANNING,,High enamel rate due to scratches on inner coating of cans,Pipe under the welding arm not properly girded together,The operator made necessary adjustment to the pipe under the welding arm,The line was stopped and the affected cans were retrieved from the line. ,,,
31/10/2024,NB,CANNING,,Jamming on Cevolani,Sticky external lacquer obstructed free movement of coveyor belt,Enginneer cleaned the lacquer using thinner ,The line was stopped for the engineer to work on the machine,,,
31/10/2024,NB,PACKAGING,,Label colour variation,Supplier Issue,Colour variant were obseved ,It was escalated,,,
31/10/2024,NB,PACKAGING,,Misaligned label on cans,Unbalanced machine settings,The operator made an adjustment on the setting of the machine,The line was stopped and the affected cans were retrieved from the line. ,,,
